ID	Type	Annotator	LABEL	Text								
62	Exploration	all	N/A	Uh, that’s my water.								
63	Exploration	all	N/A	What?								
64	Exploration	all	N/A	My water. You’re drinking it.								
65	Exploration	all	N/A	Dear Lord! Have you been drinking it?								
66	Exploration	all	N/A	I’m getting three trains.								
67	Exploration	all	TACT	Wait, uh, uh, hang on. In my defense…								
68	Exploration	all	N/A	I heard you can make good money doing that.								
69	Exploration	all	N/A	Yeah, it’s going okay, but I do miss this sometimes.								
70	Exploration	all	N/A	Really?								
71	Exploration	all	N/A	Mmm.								
72	Exploration	all	N/A	I am so sick of the humiliation.								
73	Exploration	all	N/A	So, um, Amy, Sheldon tells me you’re a neuro something-or-other.								
74	Exploration	all	N/A	Neurobiologist. Your check engine light is on.								
75	Exploration	all	N/A	Yeah, it’s okay.								
76	Exploration	all	N/A	What up, guys?								
77	Exploration	all	N/A	Hello, hey!								
78	Exploration	all	N/A	Penny and I have some big news. We’re engaged.								
79	Exploration	all	N/A	And I thought me having sex with Emily was gonna be the big news.								
80	Exploration	all	N/A	Hey, hey, what the hell?								
81	Exploration	all	N/A	Well, you don’t know the backstory.								
82	Exploration	all	N/A	I feel cool. Like Puss in Boots.								
83	Exploration	all	N/A	I always wanted to be a swashbuckler.								
84	Exploration	all	N/A	Technically, swashbuckler is a combination of two terms.								
85	Exploration	all	N/A	I don’t know.								
86	Exploration	all	N/A	Well ask them why they’re calling at this ungodly hour.								
87	Exploration	all	N/A	How can I ask them when I’m talking to you!								
88	Exploration	all	N/A	Howard, it’s Leonard, code Milky Green.								
89	Exploration	all	N/A	Dear Lord, not Milky Green!								
90	Exploration	all	AGREEMENT	I’ve got to go with Leonard on this. He is wrong more than anyone I know.								
91	Exploration	all	TACT	I just realized I’m on a break. I’ll get someone else.								
92	Exploration	all	N/A	Well…								
93	Exploration	all	N/A	Leonard, promise me you will not start a complicated relationship with her.								
94	Exploration	all	AGREEMENT	 Yeah, good for you. 								
95	Exploration	all	APPROBATION	That's amazing. 								
96	Exploration	all	N/A	Thanks. I was as surprised as anybody. When they called and told me I won, I didn't  believe them. And then they said, no, you really won. And then I said, cool.								
97	Exploration	all	APPROBATION	 Someone call George R. R. Martin, this guy knows how to finish a story. 								
98	Exploration	all	N/A	I've gotten pretty good at telling it. Well, see ya. 								
99	Exploration	all	APPROBATION	Terrific. Couldn't be better								
100	Exploration	all	N/A	Oh, bite me.								
												
												
101	Joint-Consolidated	all	AGREEMENT	0: person 1 - " Yeah. Israeli Krav Maga. Lots of fun. Basically, a hundred different ways to rip a guy’s nuts off."								
102	Joint-Consolidated	all	N/A	1: person 2 - Wow. Wouldn’t think there’d be that many.								
103	Joint-Consolidated	all	N/A	2: person 1 - Number 42!								
104	Joint-Consolidated	all	N/A	3: person 2 - Whoa!								
105	Joint-Consolidated	all	APPROBATION	4: person 3 - Isn’t she a pip?								
106	Joint-Consolidated	all	N/A	0: person 1 - We’re going to Disney World and ride the Matterhorn?								
107	Joint-Consolidated	all	N/A	1: person 2 - No.								
108	Joint-Consolidated	all	TACT	2: person 1 - " Okay, sweetie, this started out fun, but I’m over it."								
109	Joint-Consolidated	all	N/A	3: person 2 - We’re going to Switzerland to see the CERN supercollider! And ski. We’ll also go skiing.								
110	Joint-Consolidated	all	N/A	4: person 1 - We’re going skiing in Switzerland?!								
111	Joint-Consolidated	all	N/A	0: person 1 - " Oh, no, no, no, not just a blanket. See, it has sleeves. Yeah! So, you can, you know, be all snoodled up while you do your science stuff."								
112	Joint-Consolidated	all	APPROBATION	1: person 2 - " Oh, wow, cool."								
113	Joint-Consolidated	all	N/A	2: person 1 - " Oh, I’m gonn/a miss you. (She hugs him for a long time) See you later."								
114	Joint-Consolidated	all	N/A	3: person 2 - Bye.								
115	Joint-Consolidated	all	N/A	4: person 3 - I told you no. Why don’t you believe me?								
116	Joint-Consolidated	all	N/A	0: person 1 - I possess the Dn/a of Leon/ard Nimoy?!								
117	Joint-Consolidated	all	N/A	1: person 2 - " Well, yeah, yeah, I guess. But look, he signed it."								
118	Joint-Consolidated	all	N/A	2: person 1 - Do you realize what this means? All I need is a healthy ovum and I can grow my own Leon/ard Nimoy!								
119	Joint-Consolidated	all	AGREEMENT	3: person 2 - " Okay, all I’m giving you is the n/apkin, Sheldon."								
120	Joint-Consolidated	all	N/A	4: person 1 - Be right back.								
121	Joint-Consolidated	all	N/A	0: person 1 - I was hoping she might listen to you about the dangers of owning unhygienic furniture.								
122	Joint-Consolidated	all	N/A	1: person 2 - " For general education/al purposes, or has she acquired a bar stool dipped in cholera?"								
123	Joint-Consolidated	all	N/A	2: person 1 - Cholera is water-borne. You’re mocking me.								
124	Joint-Consolidated	all	AGREEMENT	3: person 2 - " Yes, I am."								
125	Joint-Consolidated	all	N/A	4: person 1 - Penny has dragged a chair in off the street whose unknown proven/ance jeopardizes the health and welfare of every resident in our building.								
126	Joint-Consolidated	all	N/A	0: person 1 - " Mm. Well, I think more about if I’d have any regrets."								
127	Joint-Consolidated	all	N/A	1: person 2 - What would you regret?								
128	Joint-Consolidated	all	N/A	2: person 1 - " Mm, you know, that I didn’t travel more, take more risks, learn another language."								
129	Joint-Consolidated	all	N/A	3: person 2 - You know Klingon.								
130	Joint-Consolidated	all	AGREEMENT	4: person 1 - That’s true.								
131	Joint-Consolidated	all	N/A	0: person 1 - I may be moving out soon. I think I found a place to live.								
132	Joint-Consolidated	all	SYMPATHY	1: person 2 - " Oh, I’m sorry to hear that."								
133	Joint-Consolidated	all	N/A	2: person 1 - Really? You kept sending me apartment listings.								
134	Joint-Consolidated	all	AGREEMENT	3: person 2 - " Um, well, I, yeah, you got me."								
135	Joint-Consolidated	all	N/A	4: person 3 - Where are you moving?								
136	Joint-Consolidated	all	N/A	0: Scene - Penny’s apartment.								
137	Joint-Consolidated	all	TACT	1: person 1 - You ready to go?								
138	Joint-Consolidated	all	N/A	2: person 2 - " Yep. Hey, and maybe this time you don’t try and talk sports with the guys."								
139	Joint-Consolidated	all	N/A	3: person 1 - Some sports bar. It’s like they never even heard of Quidditch. Do we really have to go?								
140	Joint-Consolidated	all	N/A	4: person 2 - " Oh, come on. Every time we’re about to hang out with my friends, you don’t want to. It’s like, It’s too loud, or the bathroom’s too dirty, or they put a chicken wing in my ear. I mean…"								
141	Joint-Consolidated	all	N/A	0: person 1 - " Well, you know, I’ve always been a fan of a story told by Attar of Nishapur, about a king who assembled a group of wise men to create a ring that would make him happy when he was sad. And that ring was inscribed with the phrase, this too shall pass."								
142	Joint-Consolidated	all	N/A	1: person 2 - " Hey, Cooper. I heard you dwunk-dialed Stephen Hawking last night? Classic."								
143	Joint-Consolidated	all	N/A	2: person 3 - " Get out of here, Barry."								
144	Joint-Consolidated	all	AGREEMENT	3: person 2 - " Whatever you say, Cwogziwwa."								
145	Joint-Consolidated	all	N/A	4: person 1 - Clogzilla. That’s pretty funny. I don’t think that’s gonn/a pass.								
146	Joint-Consolidated	all	N/A	0: person 1 - " Alright, alright, well, just, sit down, yes, sit down, now close your eyes."								
147	Joint-Consolidated	all	N/A	1: person 2 - Why?								
148	Joint-Consolidated	all	N/A	2: person 1 - Just do it.								
149	Joint-Consolidated	all	AGREEMENT	3: person 2 - Okay.								
150	Joint-Consolidated	all	N/A	4: person 1 - Now try to increase your alpha-wave activity.								
151	Joint-Consolidated	all	N/A	0: person 1 - " Oh, and I thought our days of pretending to be with women who don’t exist were over."								
152	Joint-Consolidated	all	N/A	1: person 2 - " Gentlemen, I am one step away from securing a huge guest for my convention."								
153	Joint-Consolidated	all	N/A	2: person 3 - Does that step include chloroform and a roll of duct tape?								
154	Joint-Consolidated	all	TACT	3: person 2 - " I don’t think that will be necessary for Mr. James Earl Jones. You heard me. The voice of Darth Vader, the Lion King’s dad, and FYI, the guy who says, This is CNN. Which also sounds like Darth Vader."								
155	Joint-Consolidated	all	N/A	4: person 4 - How are you gonn/a get James Earl Jones?								
156	Joint-Consolidated	all	APPROBATION	0: person 1 - " Yes, you were very n/atural in front of the camera, and I found your suggestions extremely helpful."								
157	Joint-Consolidated	all	SYMPATHY	1: person 2 - " Aw, sweetie, you just made my day."								
158	Joint-Consolidated	all	N/A	2: person 1 - Okay.								
159	Joint-Consolidated	all	TACT	3: person 2 - " Hey, my acting class is putting on a play Friday night. I could put you and Amy on the guest list."								
160	Joint-Consolidated	all	N/A	4: person 1 - " Oh, that sounds terrible. Why would I want to do that?"								
161	Joint-Consolidated	all	N/A	0: person 1 - I don’t know. Kryptonian mustard.								
162	Joint-Consolidated	all	TACT	1: person 2 - I think we can safely assume that all Kryptonian condiments were destroyed when the planet Krypton exploded.								
163	Joint-Consolidated	all	N/A	2: person 3 - " Or it turned into mustard Kryptonite, the only way to destroy a rogue Kryptonian hotdog threatening Earth."								
164	Joint-Consolidated	all	TACT	3: person 4 - " Raj, please, let’s stay serious here. Superman’s body is Kryptonian, therefore his sweat is Kryptonian."								
165	Joint-Consolidated	all	N/A	4: person 1 - " Yeah, what about Kryptonian pit stains?"								
166	Joint-Consolidated	all	TACT	0: person 1 - " Sorry, sorry, sorry, sorry, sorry."								
167	Joint-Consolidated	all	N/A	1: person 2 - " In order to live long enough to fuse my consciousness with cybernetics, I need to change my diet."								
168	Joint-Consolidated	all	N/A	2: person 1 - " Wait. Cybernetics is robot stuff, right?"								
169	Joint-Consolidated	all	N/A	3: person 2 - Correct.								
170	Joint-Consolidated	all	N/A	4: person 1 - So you want to turn yourself into some sort of robot?								
171	Joint-Consolidated	all	N/A	0: person 1 - Here.								
172	Joint-Consolidated	all	N/A	1: person 2 - " She’s here, the baby’s here."								
173	Joint-Consolidated	all	N/A	2: person 1 - Oh!								
174	Joint-Consolidated	all	SYMPATHY	3: person 3 - Congratulations.								
175	Joint-Consolidated	all	N/A	4: person 4 - How’s Bern/adette?								
176	Joint-Consolidated	all	N/A	0: Scene - " The same, shortly after, demonstrating the quantum gyroscope. "								
177	Joint-Consolidated	all	N/A	1: person 1 - " And because of the quantum vortices, this can run perpetually?"								
178	Joint-Consolidated	all	APPROBATION	2: person 2 - " Exactly. Yeah, you have a good grasp of the physics."								
179	Joint-Consolidated	all	N/A	3: person 1 - " Well, I’m a scientist by training."								
180	Joint-Consolidated	all	N/A	4: person 3 - Really? You’re a physicist?								
181	Joint-Consolidated	all	N/A	0: person 1 - Sounds like your neighbour’s home.								
182	Joint-Consolidated	all	TACT	1: person 2 - Excuse me.								
183	Joint-Consolidated	all	N/A	2: person 3 - Don’t forget the mail you took accidentally on purpose so you’d have an excuse to talk to her.								
184	Joint-Consolidated	all	AGREEMENT	3: person 2 - " Oh, right, right right right right."								
185	Joint-Consolidated	all	APPROBATION	4: person 1 - " Stealing sn/ail mail, very old school, I like it. "								
186	Joint-Consolidated	all	N/A	0: person 1 - Yeah.								
187	Joint-Consolidated	all	N/A	1: person 2 - I don’t. I have a hole in my belly button that may or may not have been a piercing.								
188	Joint-Consolidated	all	APPROBATION	2: person 1 - That’s cool.								
189	Joint-Consolidated	all	N/A	3: person 2 - " It’s a piercing. So, uh, how many tattoos?"								
190	Joint-Consolidated	all	N/A	4: person 1 - " One on my shoulder, one not on my shoulder and one really not on my shoulder."								
191	Joint-Consolidated	all	N/A	0: person 1 - Then what were you doing there?								
192	Joint-Consolidated	all	N/A	1: person 2 - I lied. I love them. I only said that so you’d go out with me.								
193	Joint-Consolidated	all	TACT	2: person 1 - " Oh, you don’t want to do that. I’m kind of broken."								
194	Joint-Consolidated	all	SYMPATHY	3: person 2 - " That’s great. I’m broken, too."								
195	Joint-Consolidated	all	APPROBATION	4: person 1 - " Oh, no, you’re not."								
196	Joint-Consolidated	all	N/A	0: person 1 - " Yeah. I was at a science-fiction convention, and I saw a woman dressed as your half-ape character."								
197	Joint-Consolidated	all	N/A	1: person 2 - " Oh, if she was with an Indian guy dressed like a ban/an/a, that was just my friends, Howard and Raj."								
198	Joint-Consolidated	all	N/A	2: person 1 - " All right, it’s time for a very special guest caller, a friend of mine, who you probably know as the director of such movies as Clerks, or from podcasts and books where he often reminds you that he’s the guy who directed Clerks. Hello, Kevin Smith."								
199	Joint-Consolidated	all	N/A	3: person 3 - " Hey, man, yo, is everything okay, Wil? ‘Cause it’s been, like, two minutes and you haven’t even brought up Stand By Me."								
200	Joint-Consolidated	all	APPROBATION	4: person 4 - " Hey, Kevin. It’s really exciting to talk to you."								
226	Joint-Individual	joel	agreement	0: person 1 - " Yeah. Israeli Krav Maga. Lots of fun. Basically, a hundred different ways to rip a guy’s nuts off."								
227	Joint-Individual	joel	n/a	1: person 2 - Wow. Wouldn’t think there’d be that many.								
228	Joint-Individual	joel	n/a	2: person 1 - Number 42!								
229	Joint-Individual	joel	n/a	3: person 2 - Whoa!								
230	Joint-Individual	joel	approbation	4: person 3 - Isn’t she a pip?								
231	Joint-Individual	joel	n/a	0: person 1 - We’re going to Disney World and ride the Matterhorn?								
232	Joint-Individual	joel	n/a	1: person 2 - No.								
233	Joint-Individual	joel	tact	2: person 1 - " Okay, sweetie, this started out fun, but I’m over it."								
234	Joint-Individual	joel	n/a	3: person 2 - We’re going to Switzerland to see the CERN supercollider! And ski. We’ll also go skiing.								
235	Joint-Individual	joel	n/a	4: person 1 - We’re going skiing in Switzerland?!								
236	Joint-Individual	joel	n/a	0: person 1 - " Oh, no, no, no, not just a blanket. See, it has sleeves. Yeah! So, you can, you know, be all snoodled up while you do your science stuff."								
237	Joint-Individual	joel	approbation	1: person 2 - " Oh, wow, cool."								
238	Joint-Individual	joel	sympathy	2: person 1 - " Oh, I’m gonn/a miss you. (She hugs him for a long time) See you later."								
239	Joint-Individual	joel	n/a	3: person 2 - Bye.								
240	Joint-Individual	joel	n/a	4: person 3 - I told you no. Why don’t you believe me?								
241	Joint-Individual	joel	n/a	0: person 1 - I possess the Dn/a of Leon/ard Nimoy?!								
242	Joint-Individual	joel	n/a	1: person 2 - " Well, yeah, yeah, I guess. But look, he signed it."								
243	Joint-Individual	joel	n/a	2: person 1 - Do you realize what this means? All I need is a healthy ovum and I can grow my own Leon/ard Nimoy!								
244	Joint-Individual	joel	agreement	3: person 2 - " Okay, all I’m giving you is the n/apkin, Sheldon."								
245	Joint-Individual	joel	n/a	4: person 1 - Be right back.								
246	Joint-Individual	joel	n/a	0: person 1 - I was hoping she might listen to you about the dangers of owning unhygienic furniture.								
247	Joint-Individual	joel	n/a	1: person 2 - " For general education/al purposes, or has she acquired a bar stool dipped in cholera?"								
248	Joint-Individual	joel	n/a	2: person 1 - Cholera is water-borne. You’re mocking me.								
249	Joint-Individual	joel	agreement	3: person 2 - " Yes, I am."								
250	Joint-Individual	joel	n/a	4: person 1 - Penny has dragged a chair in off the street whose unknown proven/ance jeopardizes the health and welfare of every resident in our building.								
251	Joint-Individual	joel	n/a	0: person 1 - " Mm. Well, I think more about if I’d have any regrets."								
252	Joint-Individual	joel	n/a	1: person 2 - What would you regret?								
253	Joint-Individual	joel	n/a	2: person 1 - " Mm, you know, that I didn’t travel more, take more risks, learn another language."								
254	Joint-Individual	joel	n/a	3: person 2 - You know Klingon.								
255	Joint-Individual	joel	agreement	4: person 1 - That’s true.								
256	Joint-Individual	joel	n/a	0: person 1 - I may be moving out soon. I think I found a place to live.								
257	Joint-Individual	joel	sympathy	1: person 2 - " Oh, I’m sorry to hear that."								
258	Joint-Individual	joel	n/a	2: person 1 - Really? You kept sending me apartment listings.								
259	Joint-Individual	joel	agreement	3: person 2 - " Um, well, I, yeah, you got me."								
260	Joint-Individual	joel	n/a	4: person 3 - Where are you moving?								
261	Joint-Individual	joel	n/a	0: Scene - Penny’s apartment.								
262	Joint-Individual	joel	tact	1: person 1 - You ready to go?								
263	Joint-Individual	joel	n/a	2: person 2 - " Yep. Hey, and maybe this time you don’t try and talk sports with the guys."								
264	Joint-Individual	joel	n/a	3: person 1 - Some sports bar. It’s like they never even heard of Quidditch. Do we really have to go?								
265	Joint-Individual	joel	n/a	4: person 2 - " Oh, come on. Every time we’re about to hang out with my friends, you don’t want to. It’s like, It’s too loud, or the bathroom’s too dirty, or they put a chicken wing in my ear. I mean…"								
266	Joint-Individual	joel	n/a	0: person 1 - " Well, you know, I’ve always been a fan of a story told by Attar of Nishapur, about a king who assembled a group of wise men to create a ring that would make him happy when he was sad. And that ring was inscribed with the phrase, this too shall pass."								
267	Joint-Individual	joel	n/a	1: person 2 - " Hey, Cooper. I heard you dwunk-dialed Stephen Hawking last night? Classic."								
268	Joint-Individual	joel	n/a	2: person 3 - " Get out of here, Barry."								
269	Joint-Individual	joel	n/a	3: person 2 - " Whatever you say, Cwogziwwa."								
270	Joint-Individual	joel	n/a	4: person 1 - Clogzilla. That’s pretty funny. I don’t think that’s gonn/a pass.								
271	Joint-Individual	joel	n/a	0: person 1 - " Alright, alright, well, just, sit down, yes, sit down, now close your eyes."								
272	Joint-Individual	joel	n/a	1: person 2 - Why?								
273	Joint-Individual	joel	n/a	2: person 1 - Just do it.								
274	Joint-Individual	joel	agreement	3: person 2 - Okay.								
275	Joint-Individual	joel	n/a	4: person 1 - Now try to increase your alpha-wave activity.								
276	Joint-Individual	joel	n/a	0: person 1 - " Oh, and I thought our days of pretending to be with women who don’t exist were over."								
277	Joint-Individual	joel	n/a	1: person 2 - " Gentlemen, I am one step away from securing a huge guest for my convention."								
278	Joint-Individual	joel	n/a	2: person 3 - Does that step include chloroform and a roll of duct tape?								
279	Joint-Individual	joel	n/a	3: person 2 - " I don’t think that will be necessary for Mr. James Earl Jones. You heard me. The voice of Darth Vader, the Lion King’s dad, and FYI, the guy who says, This is CNN. Which also sounds like Darth Vader."								
280	Joint-Individual	joel	n/a	4: person 4 - How are you gonn/a get James Earl Jones?								
281	Joint-Individual	joel	approbation	0: person 1 - " Yes, you were very n/atural in front of the camera, and I found your suggestions extremely helpful."								
282	Joint-Individual	joel	sympathy	1: person 2 - " Aw, sweetie, you just made my day."								
283	Joint-Individual	joel	n/a	2: person 1 - Okay.								
284	Joint-Individual	joel	n/a	3: person 2 - " Hey, my acting class is putting on a play Friday night. I could put you and Amy on the guest list."								
285	Joint-Individual	joel	n/a	4: person 1 - " Oh, that sounds terrible. Why would I want to do that?"								
286	Joint-Individual	joel	n/a	0: person 1 - I don’t know. Kryptonian mustard.								
287	Joint-Individual	joel	n/a	1: person 2 - I think we can safely assume that all Kryptonian condiments were destroyed when the planet Krypton exploded.								
288	Joint-Individual	joel	n/a	2: person 3 - " Or it turned into mustard Kryptonite, the only way to destroy a rogue Kryptonian hotdog threatening Earth."								
289	Joint-Individual	joel	n/a	3: person 4 - " Raj, please, let’s stay serious here. Superman’s body is Kryptonian, therefore his sweat is Kryptonian."								
290	Joint-Individual	joel	n/a	4: person 1 - " Yeah, what about Kryptonian pit stains?"								
291	Joint-Individual	joel	tact	0: person 1 - " Sorry, sorry, sorry, sorry, sorry."								
292	Joint-Individual	joel	n/a	1: person 2 - " In order to live long enough to fuse my consciousness with cybernetics, I need to change my diet."								
293	Joint-Individual	joel	n/a	2: person 1 - " Wait. Cybernetics is robot stuff, right?"								
294	Joint-Individual	joel	n/a	3: person 2 - Correct.								
295	Joint-Individual	joel	n/a	4: person 1 - So you want to turn yourself into some sort of robot?								
296	Joint-Individual	joel	n/a	0: person 1 - Here.								
297	Joint-Individual	joel	n/a	1: person 2 - " She’s here, the baby’s here."								
298	Joint-Individual	joel	n/a	2: person 1 - Oh!								
299	Joint-Individual	joel	sympathy	3: person 3 - Congratulations.								
300	Joint-Individual	joel	n/a	4: person 4 - How’s Bern/adette?								
301	Joint-Individual	joel	n/a	0: Scene - " The same, shortly after, demonstrating the quantum gyroscope. "								
302	Joint-Individual	joel	n/a	1: person 1 - " And because of the quantum vortices, this can run perpetually?"								
303	Joint-Individual	joel	approbation	2: person 2 - " Exactly. Yeah, you have a good grasp of the physics."								
304	Joint-Individual	joel	n/a	3: person 1 - " Well, I’m a scientist by training."								
305	Joint-Individual	joel	n/a	4: person 3 - Really? You’re a physicist?								
306	Joint-Individual	joel	n/a	0: person 1 - Sounds like your neighbour’s home.								
307	Joint-Individual	joel	n/a	1: person 2 - Excuse me.								
308	Joint-Individual	joel	n/a	2: person 3 - Don’t forget the mail you took accidentally on purpose so you’d have an excuse to talk to her.								
309	Joint-Individual	joel	agreement	3: person 2 - " Oh, right, right right right right."								
310	Joint-Individual	joel	n/a	4: person 1 - " Stealing sn/ail mail, very old school, I like it. "								
311	Joint-Individual	joel	n/a	0: person 1 - Yeah.								
312	Joint-Individual	joel	n/a	1: person 2 - I don’t. I have a hole in my belly button that may or may not have been a piercing.								
313	Joint-Individual	joel	n/a	2: person 1 - That’s cool.								
314	Joint-Individual	joel	n/a	3: person 2 - " It’s a piercing. So, uh, how many tattoos?"								
315	Joint-Individual	joel	sympathy	4: person 1 - " One on my shoulder, one not on my shoulder and one really not on my shoulder."								
316	Joint-Individual	joel	n/a	0: person 1 - Then what were you doing there?								
317	Joint-Individual	joel	n/a	1: person 2 - I lied. I love them. I only said that so you’d go out with me.								
318	Joint-Individual	joel	n/a	2: person 1 - " Oh, you don’t want to do that. I’m kind of broken."								
319	Joint-Individual	joel	agreement	3: person 2 - " That’s great. I’m broken, too."								
320	Joint-Individual	joel	approbation	4: person 1 - " Oh, no, you’re not."								
321	Joint-Individual	joel	n/a	0: person 1 - " Yeah. I was at a science-fiction convention, and I saw a woman dressed as your half-ape character."								
322	Joint-Individual	joel	n/a	1: person 2 - " Oh, if she was with an Indian guy dressed like a ban/an/a, that was just my friends, Howard and Raj."								
323	Joint-Individual	joel	n/a	2: person 1 - " All right, it’s time for a very special guest caller, a friend of mine, who you probably know as the director of such movies as Clerks, or from podcasts and books where he often reminds you that he’s the guy who directed Clerks. Hello, Kevin Smith."								
324	Joint-Individual	joel	n/a	3: person 3 - " Hey, man, yo, is everything okay, Wil? ‘Cause it’s been, like, two minutes and you haven’t even brought up Stand By Me."								
325	Joint-Individual	joel	approbation	4: person 4 - " Hey, Kevin. It’s really exciting to talk to you."								
1	Joint-Individual	nora	n/a	0: person 1 - " Yeah. Israeli Krav Maga. Lots of fun. Basically, a hundred different ways to rip a guy’s nuts off."								
2	Joint-Individual	nora	approbation	1: person 2 - Wow. Wouldn’t think there’d be that many.								
3	Joint-Individual	nora	n/a	2: person 1 - Number 42!								
4	Joint-Individual	nora	n/a	3: person 2 - Whoa!								
5	Joint-Individual	nora	approbation	4: person 3 - Isn’t she a pip?								
6	Joint-Individual	nora	n/a	0: person 1 - We’re going to Disney World and ride the Matterhorn?								
7	Joint-Individual	nora	n/a	1: person 2 - No.								
8	Joint-Individual	nora	tact	2: person 1 - " Okay, sweetie, this started out fun, but I’m over it."								
9	Joint-Individual	nora	n/a	3: person 2 - We’re going to Switzerland to see the CERN supercollider! And ski. We’ll also go skiing.								
10	Joint-Individual	nora	n/a	4: person 1 - We’re going skiing in Switzerland?!								
11	Joint-Individual	nora	n/a	0: person 1 - " Oh, no, no, no, not just a blanket. See, it has sleeves. Yeah! So, you can, you know, be all snoodled up while you do your science stuff."								
12	Joint-Individual	nora	agreement	1: person 2 - " Oh, wow, cool."								
13	Joint-Individual	nora	n/a	2: person 1 - " Oh, I’m gonn/a miss you. (She hugs him for a long time) See you later."								
14	Joint-Individual	nora	n/a	3: person 2 - Bye.								
15	Joint-Individual	nora	n/a	4: person 3 - I told you no. Why don’t you believe me?								
16	Joint-Individual	nora	n/a	0: person 1 - I possess the Dn/a of Leon/ard Nimoy?!								
17	Joint-Individual	nora	agreement	1: person 2 - " Well, yeah, yeah, I guess. But look, he signed it."								
18	Joint-Individual	nora	n/a	2: person 1 - Do you realize what this means? All I need is a healthy ovum and I can grow my own Leon/ard Nimoy!								
19	Joint-Individual	nora	agreement	3: person 2 - " Okay, all I’m giving you is the n/apkin, Sheldon."								
20	Joint-Individual	nora	n/a	4: person 1 - Be right back.								
21	Joint-Individual	nora	n/a	0: person 1 - I was hoping she might listen to you about the dangers of owning unhygienic furniture.								
